dataset,dataset_type,scenario,model,model_version,horizon,n,mae,rmse,crps_approx,coverage95,mean_interval_width,calibration_error,failed_predictions
enriched_monthly_panel,observed,prior_7_8_no_killer,llambo_style,hardened,1,20,4.0364,5.5306,3.0092,0.8500,14.7455,0.1667,0
enriched_monthly_panel,observed,prior_7_8_no_killer,llambo_style,hardened,2,19,5.8522,6.9422,4.2804,0.6842,15.3995,0.1877,0
enriched_monthly_panel,observed,prior_7_8_no_killer,llambo_style,hardened,3,18,6.8124,8.3565,5.2914,0.6111,14.9895,0.1741,0
enriched_monthly_panel,observed,prior_7_8_no_killer,llambo_style,hardened,4,17,5.6999,7.7224,4.5161,0.7059,14.3985,0.2516,0
enriched_monthly_panel,observed,prior_7_8_no_killer,llambo_style,hardened,5,16,6.6065,8.7850,5.3069,0.6875,13.7709,0.3403,0
enriched_monthly_panel,observed,prior_7_8_no_killer,llambo_style,hardened,6,15,7.8853,9.9048,6.3318,0.6000,13.1329,0.4333,0
enriched_monthly_panel,observed,prior_7_8_no_killer,llambo_style,hardened_no_area,1,20,4.3019,5.6879,3.1579,0.8500,14.9350,0.1944,0
enriched_monthly_panel,observed,prior_7_8_no_killer,llambo_style,hardened_no_area,2,19,6.2082,7.3505,4.5735,0.7895,15.6574,0.2205,0
enriched_monthly_panel,observed,prior_7_8_no_killer,llambo_style,hardened_no_area,3,18,7.0119,8.9903,5.5991,0.6111,15.2548,0.1914,0
enriched_monthly_panel,observed,prior_7_8_no_killer,llambo_style,hardened_no_area,4,17,6.5089,8.7600,5.2757,0.7059,14.6516,0.3235,0
enriched_monthly_panel,observed,prior_7_8_no_killer,llambo_style,hardened_no_area,5,16,8.2339,10.2903,6.6659,0.5625,14.0068,0.4097,0
enriched_monthly_panel,observed,prior_7_8_no_killer,llambo_style,hardened_no_area,6,15,10.0083,11.8287,8.2456,0.2667,13.3507,0.4704,0
enriched_monthly_panel,observed,prior_7_8_with_killer,gp_surrogate,baseline,1,20,4.7303,6.4120,3.6343,0.8500,15.4387,0.2056,0
enriched_monthly_panel,observed,prior_7_8_with_killer,gp_surrogate,baseline,2,19,7.9009,9.3916,5.9290,0.7368,20.2861,0.2953,0
enriched_monthly_panel,observed,prior_7_8_with_killer,gp_surrogate,baseline,3,18,11.2969,12.6672,8.6062,0.6111,24.5585,0.3704,0
enriched_monthly_panel,observed,prior_7_8_with_killer,gp_surrogate,baseline,4,17,14.6704,15.5790,11.2069,0.4118,27.1755,0.4673,0
enriched_monthly_panel,observed,prior_7_8_with_killer,gp_surrogate,baseline,5,16,17.0774,17.9476,13.2813,0.2500,28.1548,0.4792,0
enriched_monthly_panel,observed,prior_7_8_with_killer,gp_surrogate,baseline,6,15,18.9918,19.8846,15.0698,0.2000,28.0338,0.5000,0
enriched_monthly_panel,observed,prior_7_8_with_killer,linear_trend,baseline,1,20,4.6862,6.5821,3.7109,0.8500,18.9706,0.1556,0
enriched_monthly_panel,observed,prior_7_8_with_killer,linear_trend,baseline,2,19,5.8158,8.0076,4.6832,0.8421,26.8079,0.1550,0
enriched_monthly_panel,observed,prior_7_8_with_killer,linear_trend,baseline,3,18,7.2748,9.3649,5.7535,0.7778,32.7732,0.1864,0
enriched_monthly_panel,observed,prior_7_8_with_killer,linear_trend,baseline,4,17,8.0616,9.7734,6.2217,0.7647,37.7284,0.2516,0
enriched_monthly_panel,observed,prior_7_8_with_killer,linear_trend,baseline,5,16,8.3403,10.1447,6.5658,0.7500,42.0148,0.2500,0
