dataset,dataset_type,scenario,model,horizon,mae_baseline,mae_hardened,mae_hardened_no_area,mae_delta_hardened_minus_baseline,mae_delta_hardened_minus_hardened_no_area,rmse_baseline,rmse_hardened,rmse_hardened_no_area,rmse_delta_hardened_minus_baseline,rmse_delta_hardened_minus_hardened_no_area,crps_approx_baseline,crps_approx_hardened,crps_approx_hardened_no_area,crps_approx_delta_hardened_minus_baseline,crps_approx_delta_hardened_minus_hardened_no_area,coverage95_baseline,coverage95_hardened,coverage95_hardened_no_area,coverage95_delta_hardened_minus_baseline,coverage95_delta_hardened_minus_hardened_no_area,mean_interval_width_baseline,mean_interval_width_hardened,mean_interval_width_hardened_no_area,mean_interval_width_delta_hardened_minus_baseline,mean_interval_width_delta_hardened_minus_hardened_no_area,calibration_error_baseline,calibration_error_hardened,calibration_error_hardened_no_area,calibration_error_delta_hardened_minus_baseline,calibration_error_delta_hardened_minus_hardened_no_area
__ALL_SYNTHETIC__,synthetic,prior_3_5_with_killer,llambo_style,all,3.7616,2.8372,2.8372,-0.9244,+0.0000,5.6036,3.9037,3.9037,-1.6999,+0.0000,2.9519,2.0966,2.0966,-0.8553,+0.0000,0.8140,0.9509,0.9509,+0.1369,+0.0000,13.5679,15.3899,15.3899,+1.8220,+0.0000,0.1934,0.1064,0.1064,-0.0870,+0.0000
__ALL_SYNTHETIC__,synthetic,prior_7_8_no_killer,llambo_style,1,3.0239,2.4549,2.4549,-0.5690,+0.0000,4.6146,4.0562,4.0562,-0.5584,+0.0000,2.3581,1.9391,1.9391,-0.4190,+0.0000,0.8611,0.9167,0.9167,+0.0556,+0.0000,11.4856,13.3997,13.3997,+1.9141,+0.0000,0.1512,0.0756,0.0756,-0.0756,+0.0000
__ALL_SYNTHETIC__,synthetic,prior_7_8_no_killer,llambo_style,2,3.7554,2.5070,2.5070,-1.2484,+0.0000,5.4985,3.7402,3.7402,-1.7583,+0.0000,2.9524,1.9047,1.9047,-1.0477,+0.0000,0.7536,0.9565,0.9565,+0.2029,+0.0000,11.7258,13.8484,13.8484,+2.1226,+0.0000,0.2230,0.0681,0.0681,-0.1549,+0.0000
__ALL_SYNTHETIC__,synthetic,prior_7_8_no_killer,llambo_style,3,4.5082,2.6440,2.6440,-1.8642,+0.0000,6.4485,3.6393,3.6393,-2.8092,+0.0000,3.5994,1.9375,1.9375,-1.6619,+0.0000,0.7424,0.9545,0.9545,+0.2121,+0.0000,11.3153,13.4173,13.4173,+2.1020,+0.0000,0.2626,0.0761,0.0761,-0.1865,+0.0000
__ALL_SYNTHETIC__,synthetic,prior_7_8_no_killer,llambo_style,4,4.9963,2.7520,2.7520,-2.2443,+0.0000,7.1514,3.7751,3.7751,-3.3763,+0.0000,4.0828,2.0154,2.0154,-2.0674,+0.0000,0.6508,0.9048,0.9048,+0.2540,+0.0000,10.8249,12.8515,12.8515,+2.0266,+0.0000,0.2813,0.1067,0.1067,-0.1746,+0.0000
__ALL_SYNTHETIC__,synthetic,prior_7_8_no_killer,llambo_style,5,5.2475,3.0685,3.0685,-2.1790,+0.0000,7.7730,3.9154,3.9154,-3.8576,+0.0000,4.3619,2.1372,2.1372,-2.2247,+0.0000,0.6667,0.9333,0.9333,+0.2666,+0.0000,10.3243,12.2626,12.2626,+1.9383,+0.0000,0.3019,0.1370,0.1370,-0.1649,+0.0000
__ALL_SYNTHETIC__,synthetic,prior_7_8_no_killer,llambo_style,6,5.1067,2.8379,2.8379,-2.2688,+0.0000,6.9364,3.5490,3.5490,-3.3874,+0.0000,4.2037,2.0235,2.0235,-2.1802,+0.0000,0.6316,0.9649,0.9649,+0.3333,+0.0000,9.8224,11.6688,11.6688,+1.8464,+0.0000,0.3304,0.1803,0.1803,-0.1501,+0.0000
__ALL_SYNTHETIC__,synthetic,prior_7_8_no_killer,llambo_style,all,4.3801,2.6963,2.6963,-1.6838,+0.0000,6.4205,3.7902,3.7902,-2.6303,+0.0000,3.5390,1.9883,1.9883,-1.5507,+0.0000,0.7235,0.9380,0.9380,+0.2145,+0.0000,10.9668,12.9622,12.9622,+1.9954,+0.0000,0.2539,0.0906,0.0906,-0.1633,+0.0000
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,llambo_style,1,2.8122,2.4966,2.4966,-0.3156,+0.0000,4.3836,4.0629,4.0629,-0.3207,+0.0000,2.1985,1.9513,1.9513,-0.2472,+0.0000,0.8750,0.9167,0.9167,+0.0417,+0.0000,11.4856,13.3792,13.3792,+1.8936,+0.0000,0.1173,0.0793,0.0793,-0.0380,+0.0000
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,llambo_style,2,3.2550,2.5749,2.5749,-0.6801,+0.0000,4.8986,3.7694,3.7694,-1.1292,+0.0000,2.5607,1.9310,1.9310,-0.6297,+0.0000,0.8116,0.9565,0.9565,+0.1449,+0.0000,11.7258,13.8225,13.8225,+2.0967,+0.0000,0.1860,0.0659,0.0659,-0.1201,+0.0000
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,llambo_style,3,3.8816,2.7040,2.7040,-1.1776,+0.0000,5.6045,3.7134,3.7134,-1.8911,+0.0000,3.0284,1.9882,1.9882,-1.0402,+0.0000,0.7727,0.9091,0.9091,+0.1364,+0.0000,11.3153,13.3894,13.3894,+2.0741,+0.0000,0.2071,0.1027,0.1027,-0.1044,+0.0000
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,llambo_style,4,4.2441,2.9010,2.9010,-1.3431,+0.0000,6.1644,3.8943,3.8943,-2.2701,+0.0000,3.4068,2.1150,2.1150,-1.2918,+0.0000,0.7143,0.9048,0.9048,+0.1905,+0.0000,10.8249,12.8227,12.8227,+1.9978,+0.0000,0.2319,0.1473,0.1473,-0.0846,+0.0000
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,llambo_style,5,4.3724,3.2385,3.2385,-1.1339,+0.0000,6.7236,4.0538,4.0538,-2.6698,+0.0000,3.5880,2.2799,2.2799,-1.3081,+0.0000,0.6833,0.9500,0.9500,+0.2667,+0.0000,10.3243,12.2333,12.2333,+1.9090,+0.0000,0.2556,0.1796,0.1796,-0.0760,+0.0000
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,llambo_style,6,4.2592,3.2465,3.2465,-1.0127,+0.0000,5.8237,3.9226,3.9226,-1.9011,+0.0000,3.4163,2.2955,2.2955,-1.1208,+0.0000,0.6491,0.8421,0.8421,+0.1930,+0.0000,9.8224,11.6391,11.6391,+1.8167,+0.0000,0.2641,0.2271,0.2271,-0.0370,+0.0000
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,llambo_style,all,3.7616,2.8372,2.8372,-0.9244,+0.0000,5.6036,3.9037,3.9037,-1.6999,+0.0000,2.9961,2.0823,2.0823,-0.9138,+0.0000,0.7571,0.9147,0.9147,+0.1576,+0.0000,10.9668,12.9354,12.9354,+1.9686,+0.0000,0.2066,0.1190,0.1190,-0.0876,+0.0000
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,1,6.4139,3.8138,4.0871,-2.6001,-0.2733,7.4560,5.4207,5.5804,-2.0353,-0.1597,5.2262,2.9254,3.0721,-2.3008,-0.1467,0.3000,0.8000,0.8000,+0.5000,+0.0000,9.1774,13.3999,12.9393,+4.2225,+0.4606,0.3778,0.1444,0.1889,-0.2334,-0.0445
