dataset,dataset_type,scenario,model,horizon,mae_baseline,mae_hardened,mae_delta_hardened_minus_baseline,rmse_baseline,rmse_hardened,rmse_delta_hardened_minus_baseline,crps_approx_baseline,crps_approx_hardened,crps_approx_delta_hardened_minus_baseline,coverage95_baseline,coverage95_hardened,coverage95_delta_hardened_minus_baseline,mean_interval_width_baseline,mean_interval_width_hardened,mean_interval_width_delta_hardened_minus_baseline,calibration_error_baseline,calibration_error_hardened,calibration_error_delta_hardened_minus_baseline
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,llambo_style,1,2.8122,2.3744,-0.4378,4.3836,4.0326,-0.3510,2.1985,1.9194,-0.2791,0.8750,0.8889,+0.0139,11.4856,13.4790,+1.9934,0.1173,0.0772,-0.0401
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,llambo_style,2,3.2550,2.3512,-0.9038,4.8986,3.7542,-1.1444,2.5607,1.8683,-0.6924,0.8116,0.9275,+0.1159,11.7258,13.9454,+2.2196,0.1860,0.0800,-0.1060
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,llambo_style,3,3.8816,2.5854,-1.2962,5.6045,3.7516,-1.8529,3.0284,1.9395,-1.0889,0.7727,0.9697,+0.1970,11.3153,13.5194,+2.2041,0.2071,0.0316,-0.1755
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,llambo_style,4,4.2441,2.6759,-1.5682,6.1644,3.9140,-2.2504,3.4068,2.0059,-1.4009,0.7143,0.9048,+0.1905,10.8249,12.9549,+2.1300,0.2319,0.0354,-0.1965
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,llambo_style,5,4.3724,2.7661,-1.6063,6.7236,4.2071,-2.5165,3.5880,2.0525,-1.5355,0.6833,0.9500,+0.2667,10.3243,12.3661,+2.0418,0.2556,0.0167,-0.2389
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,llambo_style,6,4.2592,2.5747,-1.6845,5.8237,3.2480,-2.5757,3.4163,1.8231,-1.5932,0.6491,0.9825,+0.3334,9.8224,11.7720,+1.9496,0.2641,0.0232,-0.2409
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,llambo_style,all,3.7616,2.5456,-1.2160,5.6036,3.8380,-1.7656,2.9961,1.9343,-1.0618,0.7571,0.9354,+0.1783,10.9668,13.0598,+2.0930,0.2066,0.0382,-0.1684
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,1,6.4447,4.8025,-1.6422,7.5037,5.8041,-1.6996,5.3073,3.4849,-1.8224,0.2000,0.8000,+0.6000,9.0160,12.4708,+3.4548,0.3889,0.3056,-0.0833
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,2,10.1697,6.9249,-3.2448,11.7140,8.3005,-3.4135,8.9475,5.4902,-3.4573,0.1579,0.4737,+0.3158,9.1096,13.1074,+3.9978,0.4708,0.3187,-0.1521
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,3,13.9140,8.5654,-5.3486,15.3742,10.6978,-4.6764,12.6650,7.2026,-5.4624,0.0000,0.4444,+0.4444,8.6819,12.6781,+3.9962,0.5000,0.4198,-0.0802
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,4,16.8192,10.5419,-6.2773,17.6749,11.7975,-5.8774,15.6405,8.8673,-6.7732,0.0000,0.1765,+0.1765,8.1894,12.0335,+3.8441,0.5000,0.4935,-0.0065
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,5,19.9757,13.1112,-6.8645,20.7931,14.1840,-6.6091,18.8691,11.4869,-7.3822,0.0000,0.0625,+0.0625,7.6886,11.3410,+3.6524,0.5000,0.5000,+0.0000
