dataset,dataset_type,scenario,model,horizon,n,mae,rmse,crps_approx,coverage95,mean_interval_width,calibration_error,failed_predictions
__ALL_SYNTHETIC__,synthetic,prior_7_8_no_killer,llambo_style,4,63,4.9963,7.1514,4.0828,0.6508,10.8249,0.2813,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_no_killer,llambo_style,5,60,5.2475,7.7730,4.3619,0.6667,10.3243,0.3019,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_no_killer,llambo_style,6,57,5.1067,6.9364,4.2037,0.6316,9.8224,0.3304,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,gp_surrogate,1,72,4.0254,5.2094,2.8533,0.8333,14.3555,0.2716,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,gp_surrogate,2,69,6.8845,8.0142,4.8587,0.7826,22.4149,0.3663,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,gp_surrogate,3,66,11.7682,12.6454,8.3617,0.6667,30.7556,0.4293,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,gp_surrogate,4,63,17.0328,17.6229,12.3844,0.5556,37.0547,0.4665,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,gp_surrogate,5,60,21.7720,22.1999,16.3820,0.4000,40.6406,0.4796,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,gp_surrogate,6,57,26.0381,26.2422,20.3183,0.2982,41.6755,0.5000,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,linear_trend,1,72,4.2125,5.1892,3.1418,0.6667,10.7314,0.0941,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,linear_trend,2,69,4.7507,5.7197,3.4605,0.7536,14.3836,0.0668,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,linear_trend,3,66,5.2486,6.2879,3.8672,0.8030,16.9355,0.0704,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,linear_trend,4,63,5.9344,6.9096,4.3327,0.8095,18.8455,0.0616,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,linear_trend,5,60,6.7233,7.5782,4.8483,0.8500,20.4123,0.0704,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,linear_trend,6,57,7.1220,8.0399,5.1616,0.8947,21.7193,0.0770,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,llambo_style,1,72,2.8122,4.3836,2.1985,0.8750,11.4856,0.1173,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,llambo_style,2,69,3.2550,4.8986,2.5607,0.8116,11.7258,0.1860,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,llambo_style,3,66,3.8816,5.6045,3.0284,0.7727,11.3153,0.2071,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,llambo_style,4,63,4.2441,6.1644,3.4068,0.7143,10.8249,0.2319,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,llambo_style,5,60,4.3724,6.7236,3.5880,0.6833,10.3243,0.2556,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,llambo_style,6,57,4.2592,5.8237,3.4163,0.6491,9.8224,0.2641,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,logistic_scurve,1,72,3.2836,3.9620,2.3097,0.8889,13.9070,0.1775,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,logistic_scurve,2,69,3.6807,4.3893,2.6329,0.8551,15.4689,0.2053,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,logistic_scurve,3,66,4.1639,4.9517,3.0322,0.8333,16.8172,0.2290,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,logistic_scurve,4,63,4.8431,5.7329,3.5650,0.8095,17.9952,0.2372,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,logistic_scurve,5,60,5.4667,6.5714,4.1610,0.7833,19.0009,0.2426,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,logistic_scurve,6,57,5.9144,7.1699,4.5518,0.7368,19.8792,0.2719,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,persistence,1,72,3.2768,4.5703,2.4378,0.7500,14.8271,0.2284,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,persistence,2,69,4.4696,5.7707,3.4399,0.7536,20.5367,0.2617,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,persistence,3,66,6.4449,7.6957,4.7908,0.7576,24.9122,0.2980,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,persistence,4,63,8.1936,9.6927,6.1670,0.7302,28.4526,0.3289,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,persistence,5,60,10.0225,11.6085,7.5830,0.7500,31.5600,0.3519,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,persistence,6,57,12.2004,13.9469,9.2767,0.7193,34.2105,0.3713,0
__ALL_SYNTHETIC__,synthetic,prior_10_12_with_killer,llambo_style,all,387,3.6968,5.6310,3.0975,0.7106,9.5640,0.1520,0
__ALL_SYNTHETIC__,synthetic,prior_3_5_with_killer,llambo_style,all,387,3.7616,5.6036,2.9519,0.8140,13.5679,0.1934,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_no_killer,llambo_style,all,387,4.3801,6.4205,3.5390,0.7235,10.9668,0.2539,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,gp_surrogate,all,387,13.9667,16.4975,10.3717,0.6047,30.3836,0.4130,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,linear_trend,all,387,5.5833,6.6168,4.0783,0.7907,16.8808,0.0705,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,llambo_style,all,387,3.7616,5.6036,2.9961,0.7571,10.9668,0.2066,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,logistic_scurve,all,387,4.4844,5.4913,3.3122,0.8217,17.0167,0.2249,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_with_killer,persistence,all,387,7.1904,9.2065,5.4298,0.7442,25.2323,0.3028,0
