dataset,dataset_type,scenario,model,horizon,n,mae,rmse,crps_approx,coverage95,mean_interval_width,calibration_error,failed_predictions
synthetic_clean,synthetic,prior_7_8_with_killer,logistic_scurve,4,21,5.4467,6.2556,4.3113,0.6667,13.4068,0.3148,0
synthetic_clean,synthetic,prior_7_8_with_killer,logistic_scurve,5,20,6.2361,7.3127,5.1177,0.6000,13.9855,0.3222,0
synthetic_clean,synthetic,prior_7_8_with_killer,logistic_scurve,6,19,7.0672,8.3771,5.9214,0.5789,14.4576,0.3304,0
synthetic_clean,synthetic,prior_7_8_with_killer,persistence,1,24,1.9394,2.2737,1.5395,0.3750,3.9368,0.3981,0
synthetic_clean,synthetic,prior_7_8_with_killer,persistence,2,23,3.9420,4.6037,3.3384,0.3043,5.5297,0.4130,0
synthetic_clean,synthetic,prior_7_8_with_killer,persistence,3,22,6.0069,6.9687,5.2355,0.2727,6.7218,0.4242,0
synthetic_clean,synthetic,prior_7_8_with_killer,persistence,4,21,8.1293,9.3433,7.1927,0.2381,7.7043,0.4365,0
synthetic_clean,synthetic,prior_7_8_with_killer,persistence,5,20,10.2954,11.6985,9.1931,0.2500,8.5628,0.4556,0
synthetic_clean,synthetic,prior_7_8_with_killer,persistence,6,19,12.4951,14.0085,11.2301,0.2105,9.3527,0.4766,0
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,1,24,2.4325,3.5166,1.8629,0.9167,10.2508,0.0741,0
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,2,23,2.6261,4.0376,2.1373,0.7826,10.2471,0.1377,0
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,3,22,3.1862,4.6572,2.6007,0.7727,9.8539,0.1717,0
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,4,21,3.5118,5.2399,2.9711,0.7143,9.4148,0.1825,0
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,5,20,3.7706,5.9598,3.2517,0.7000,8.9751,0.1889,0
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,6,19,3.7839,5.3910,3.1744,0.6842,8.5411,0.1784,0
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,1,24,2.4583,3.4978,1.8480,0.9167,13.9552,0.1009,0
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,2,23,2.7066,4.0660,2.1314,0.9130,14.3421,0.1715,0
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,3,22,3.2622,4.6595,2.4969,0.8636,13.9489,0.1919,0
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,4,21,3.5869,5.2548,2.8579,0.7619,13.4606,0.2196,0
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,5,20,3.8888,6.0173,3.1746,0.8000,12.9602,0.2500,0
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,6,19,3.8368,5.4023,3.0133,0.7895,12.4583,0.2485,0
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,1,24,2.6228,3.7805,1.9638,0.9167,11.4856,0.1389,0
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,2,23,3.2192,4.7238,2.5017,0.7826,11.7258,0.2198,0
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,3,22,3.9668,5.5680,3.1059,0.7727,11.3153,0.2778,0
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,4,21,4.4276,6.2967,3.5878,0.7143,10.8249,0.2884,0
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,5,20,4.8076,7.0982,4.0002,0.7000,10.3243,0.3056,0
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,6,19,4.7317,6.5217,3.8637,0.6842,9.8224,0.3421,0
synthetic_noisy,synthetic,prior_7_8_with_killer,gp_surrogate,1,24,3.8451,4.5566,2.7379,0.8750,14.7792,0.2454,0
synthetic_noisy,synthetic,prior_7_8_with_killer,gp_surrogate,2,23,6.8887,7.7594,4.7645,0.8261,23.3127,0.3696,0
synthetic_noisy,synthetic,prior_7_8_with_killer,gp_surrogate,3,22,12.1313,12.6450,8.4285,0.6364,32.0023,0.4343,0
synthetic_noisy,synthetic,prior_7_8_with_killer,gp_surrogate,4,21,17.3147,17.6944,12.4408,0.5238,38.3529,0.4735,0
synthetic_noisy,synthetic,prior_7_8_with_killer,gp_surrogate,5,20,21.8524,22.1693,16.2719,0.3500,41.8346,0.4889,0
synthetic_noisy,synthetic,prior_7_8_with_killer,gp_surrogate,6,19,26.1482,26.3097,20.2271,0.3158,43.0156,0.5000,0
synthetic_noisy,synthetic,prior_7_8_with_killer,linear_trend,1,24,3.9313,4.8416,2.9061,0.7500,10.0588,0.1139,0
synthetic_noisy,synthetic,prior_7_8_with_killer,linear_trend,2,23,4.3122,5.3059,3.0783,0.7826,13.6536,0.0807,0
synthetic_noisy,synthetic,prior_7_8_with_killer,linear_trend,3,22,4.6044,5.7234,3.3315,0.9091,16.2586,0.0576,0
synthetic_noisy,synthetic,prior_7_8_with_killer,linear_trend,4,21,5.1086,6.1650,3.6397,0.9048,18.3020,0.0429,0
synthetic_noisy,synthetic,prior_7_8_with_killer,linear_trend,5,20,5.7458,6.6349,3.9584,1.0000,20.0055,0.0722,0
synthetic_noisy,synthetic,prior_7_8_with_killer,linear_trend,6,19,6.1918,7.0703,4.2318,1.0000,21.5043,0.0614,0
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,1,24,2.4583,3.4978,1.8217,0.9167,11.4856,0.1019,0
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,2,23,2.7066,4.0660,2.1143,0.8696,11.7258,0.1763,0
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,3,22,3.2622,4.6595,2.5188,0.8182,11.3153,0.2172,0
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,4,21,3.5869,5.2548,2.8992,0.7619,10.8249,0.2354,0
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,5,20,3.8888,6.0173,3.2290,0.7000,10.3243,0.2556,0
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,6,19,3.8368,5.4023,3.0780,0.6842,9.8224,0.2661,0
synthetic_noisy,synthetic,prior_7_8_with_killer,logistic_scurve,1,24,2.6477,3.1282,1.8150,0.9583,12.9559,0.1435,0
synthetic_noisy,synthetic,prior_7_8_with_killer,logistic_scurve,2,23,2.9041,3.5424,2.0270,0.9565,14.5420,0.1937,0
synthetic_noisy,synthetic,prior_7_8_with_killer,logistic_scurve,3,22,3.3195,4.0718,2.3387,0.9091,15.8988,0.2071,0
