month,observed_yield,posterior_mean,posterior_stddev,ci95_low,ci95_high,selected_growth_rate,acquisition_value
2026-01,64.0000,64.0000,0.0000,64.0000,64.0000,,
2026-02,68.5000,68.5000,0.0000,68.5000,68.5000,,
2026-03,,73.0132,2.9300,67.2704,78.7560,0.1500,4.544605
2026-04,,76.6282,2.9913,70.7653,82.4911,0.1500,3.701721
2026-05,,79.5230,2.8866,73.8654,85.1807,0.1500,3.045417
2026-06,,81.8708,2.7614,76.4584,87.2832,0.1500,2.558698
2026-07,,83.8114,2.6337,78.6492,88.9735,0.1500,2.200075
2026-08,,85.4466,2.5057,80.5354,90.3578,0.1500,1.929338
