month,observed_yield,posterior_mean,posterior_stddev,ci95_low,ci95_high,selected_growth_rate,acquisition_value
2026-01,64.0000,64.0000,0.0000,64.0000,64.0000,,
2026-02,68.5000,68.5000,0.0000,68.5000,68.5000,,
2026-03,,72.8761,2.9300,67.1333,78.6189,0.1500,4.416699
2026-04,,76.4090,2.9913,70.5461,82.2719,0.1500,3.628187
2026-05,,79.2659,2.8866,73.6082,84.9235,0.1500,3.013045
2026-06,,81.6039,2.7614,76.1914,87.0163,0.1500,2.550757
2026-07,,83.5497,2.6337,78.3876,88.7119,0.1500,2.204181
2026-08,,85.1971,2.5057,80.2859,90.1083,0.1500,1.938480
